Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.pss.json	44339	-	0	0	0	0	0	0	20	85	0	0	0	0	0	0	0	1	0	0	201	199	0	0	0	0	9	0	2
fsh-generated/resources/AllergyIntolerance-30551ce1-5a28-4356-b684-2e639094ad02.json	523	7	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-alternative-request-bundle.json	1754	6	14	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	23	21	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-any-service-no-consent-response-response.json	10034	8	9	0	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	51	201	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-data.json	4384	6	13	0	0	0	0	0	1	1299	0	0	0	0	0	0	0	0	0	0	23	24	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-response.json	16911	9	5	0	1	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	58	39	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-a-data.json	6314	7	8	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	42	27	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-a-response.json	25008	10	10	0	0	0	0	0	3	372	0	0	0	0	0	0	0	0	0	0	47	51	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-data3.json	3672	6	2	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	22	29	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-r-response.json	9705	7	2	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	31	38	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-no-response-response.json	3810	6	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	22	28	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-radiology-getdiagnoses-response.json	14663	8	2	0	0	0	0	0	2	18	0	0	0	0	0	0	0	1	0	0	53	44	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-radiology-getdiagnoses.json	2733	5	5	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	18	19	0	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-PSSProviderCapabilityStatement.json	1087	5	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	21	40	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-PSSBundleTags.json	541	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	479	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PSSFeedbackCodes.json	591	5	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	60	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-PSSQSIConditions.json	374	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	40	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PSSQSIProcedures.json	374	5	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	13	40	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PSSRatingTypes.json	611	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	45	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PSSaFeedbackReasons.json	1102	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	43	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PSSrFeedbackReasons.json	1138	5	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	15	41	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-pss-exception-codes.json	605	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	38	0	0	0	0	0	0	0
fsh-generated/resources/CommunicationRequest-1e6c8c0a-9f7f-4f65-bc16-3a7a5e7b29c2.json	1491	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0	0
fsh-generated/resources/CommunicationRequest-30551ce1-5a28-4356-b684-1e639094dd22.json	1874	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0	0
fsh-generated/resources/Condition-287e8fe2-3e83-44bd-92e7-962bc90b6d67.json	1091	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0	0
fsh-generated/resources/Condition-30551ce1-5a28-4356-b684-2e639094ad01.json	1246	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0	0
fsh-generated/resources/Condition-30551ce1-5a28-4356-b684-4e639094ad11.json	1086	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0	0
fsh-generated/resources/Condition-5f3aafb8-643c-4ed5-ad54-199939e7b2d1.json	1094	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0	0
fsh-generated/resources/Condition-72d3ced6-5133-4042-931e-04284c9f4283.json	1110	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0	0
