Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.pss.json	40401	-	0	0	0	0	0	0	19	92	0	0	0	0	0	0	0	1	0	0	176	147	0	0	0	0	8	0	2
fsh-generated/resources/AllergyIntolerance-30551ce1-5a28-4356-b684-2e639094ad02.json	523	6	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	1	0	0	0
fsh-generated/resources/Bundle-any-service-no-consent-response-response.json	10034	7	18	0	0	0	0	0	2	73	0	0	0	0	0	0	0	0	0	0	56	45	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-data.json	4384	6	19	0	1	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	31	33	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-response.json	16911	8	7	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	0	58	38	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-a-data.json	6314	6	8	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	38	21	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-a-response.json	25008	10	13	0	0	0	0	0	3	192	0	0	0	0	0	0	0	0	0	0	46	42	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-getrecommendations-data3.json	3672	5	10	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	23	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-r-response.json	9705	6	4	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	36	59	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-no-response-response.json	3810	6	3	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	23	17	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-radiology-getdiagnoses-response.json	14663	7	4	0	0	0	0	0	2	18	0	0	0	0	0	0	0	1	0	0	47	39	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-radiology-getdiagnoses.json	2733	5	8	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	14	0	0	0	0	0	0	0
