Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.pss.json	14185	-	0	0	0	0	0	0	7	477	0	0	0	0	0	0	0	0	0	0	98	99	0	0	0	0	5	0	0
fsh-generated/resources/AllergyIntolerance-allergy-to-sulfonamide.json	482	4	1	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-data.json	3109	3	0	0	0	0	19	0	0	235	0	0	0	0	0	0	0	0	0	0	15	27	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-return.json	4182	3	0	0	0	0	9	0	0	40	0	0	0	0	0	0	0	0	0	0	32	36	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-getrecommendations-a-data.json	4038	3	0	0	0	0	5	0	1	237	0	0	0	0	0	0	0	0	0	0	26	32	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-a-return.json	6689	8	0	0	0	0	6	0	0	13	0	0	0	0	0	0	0	0	0	0	22	45	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-r-return.json	3920	6	1	0	0	0	5	0	1	8	0	0	0	0	0	0	0	1	0	0	17	37	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-radiology-exposure-rating.json	661	4	0	0	1	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	12	2655	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-recommendation-rating.json	642	5	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	10	80	0	0	0	0	0	0	0
fsh-generated/resources/CommunicationRequest-ab-advice.json	1208	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	22	0	0	0	0	0	0	0
fsh-generated/resources/Condition-vulvovaginitis.json	1088	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-clindamycin.json	614	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-fluconazol.json	596	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-metronidazol.json	620	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-miconazol.json	594	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-proposal-clindamycin.json	324	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-v.json	150	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-x.json	150	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-GetDataToCollect.json	2832	5	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	21	14	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-GetRecommendations.json	2671	5	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-q-collect-information-a.json	1655	4	0	0	0	0	0	0	1	85	0	0	0	0	0	0	0	0	0	0	35	5459	0	0	0	0	1	0	0
fsh-generated/resources/QuestionnaireResponse-qresponse-v.json	650	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	24	10	0	0	0	0	0	0	0
fsh-generated/resources/RequestGroup-getdatatocollect-a-return-group.json	339	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0	0
fsh-generated/resources/RequestGroup-getrecommendations-a-return-group.json	1104	4	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0	0
fsh-generated/resources/RequestGroup-getrecommendations-r-return-1.json	678	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ct-head-iv-contrast.json	1078	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ct-head-with-or-without-contrast.json	1099	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-mr-head-without-contrast.json	1044	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-cpg-rating-coded.json	1749	5	0	0	0	0	0	13	0	35	0	0	0	0	0	0	0	0	0	0	40	628	0	0	0	0	3	0	0
fsh-generated/resources/Task-collect-information-a.json	809	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	34	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-condition-valueset.json	767	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	15	127	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-radiation-exposure-rating-vs.json	494	4	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	10	77	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-recommendation-rating-vs.json	471	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11	65	0	0	0	0	1	0	0
