Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.pss.json	30052	-	0	0	0	0	0	0	6	205	0	0	0	0	0	0	0	1	0	0	155	137	0	0	0	0	5	0	0
fsh-generated/resources/AllergyIntolerance-allergy-to-sulfonamide.json	482	4	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-data.json	3919	5	19	0	0	0	0	0	1	165	0	0	0	0	0	0	0	0	0	0	26	24	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getdatatocollect-a-response.json	15524	7	11	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	64	39	0	0	0	0	0	0	1
fsh-generated/resources/Bundle-getrecommendations-a-data.json	5589	5	7	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	41	30	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-a-response.json	21152	5	11	0	0	0	0	0	1	101	0	0	0	0	0	0	0	0	0	0	48	78	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-data3.json	3581	4	6	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	25	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-getrecommendations-r-response.json	9572	4	3	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	28	76	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-radiology-getdiagnoses-response.json	14092	5	3	0	1	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	43	70	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-radiology-getdiagnoses.json	2466	2	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	25	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PSSQSIConditions.json	373	3	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	24	2439	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-PSSQSIProcedures.json	373	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	61	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PSSRatingTypes.json	610	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	52	0	0	0	0	0	0	0
fsh-generated/resources/CommunicationRequest-ab-advice.json	1901	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0	0
fsh-generated/resources/Condition-proposed-diagnosis-3074219.json	1073	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0
fsh-generated/resources/Condition-proposed-diagnosis-3074220.json	1054	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0	0
fsh-generated/resources/Condition-proposed-diagnosis-3074221.json	1057	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0	0
fsh-generated/resources/Condition-proposed-diagnosis-3074222.json	1054	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0
fsh-generated/resources/Condition-proposed-diagnosis-5000246.json	1049	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0
fsh-generated/resources/Condition-pss-proposed-diagnosis-5000246.json	1061	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0	0
fsh-generated/resources/Condition-vulvovaginitis.json	1088	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-clindamycin.json	1117	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-fluconazol.json	347	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-metronidazol.json	1424	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-miconazol.json	450	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-proposal-clindamycin.json	324	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0	0
fsh-generated/resources/Observation-ataxia.json	287	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-a.json	684	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-r.json	682	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-GetDataToCollect.json	2832	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-GetDiagnoses.json	2420	2	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	8	0	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-GetRecommendations.json	2671	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-q-collect-information-a.json	10288	3	0	0	0	0	1	0	1	13	0	0	0	0	0	0	0	0	0	0	35	32	0	0	0	0	1	0	0
fsh-generated/resources/QuestionnaireResponse-qresponse-v.json	1217	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	20	19	0	0	0	0	0	0	0
fsh-generated/resources/RequestGroup-Inline-Instance-for-radiology-getdiagnoses-response.json	1051	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	22	0	0	0	0	0	0	0
fsh-generated/resources/RequestGroup-getdatatocollect-a-response-group.json	445	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0	0
fsh-generated/resources/RequestGroup-getrecommendations-a-response-group.json	11644	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	19	34	0	0	0	0	0	0	0
fsh-generated/resources/RequestGroup-getrecommendations-r-response-1.json	5259	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	14	26	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ct-head-wo-iv-contrast.json	536	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-proposed-ct-head-wo-iv-contrast.json	670	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-proposed-ct-head-wo-w-iv-contrast.json	674	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-proposed-mr-head-wo-iv-contrast.json	670	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-pss-ct-head-wo-iv-contrast.json	665	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AnswerOptionAdditionalCode.json	1404	3	0	10	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	31	151	0	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-CodeValueSet.json	1591	2	0	21	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	30	196	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PSSDataAcquisitionForm.json	1402	3	0	78	0	0	0	0	0	53	0	0	0	0	0	0	0	1	0	0	159	612	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-PSSPatient.json	2206	2	0	79	1	0	0	0	0	34	0	0	1	0	0	0	0	1	0	0	176	506	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-PSSRelevantAge.json	1357	3	0	22	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	32	99	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-PSSRequest.json	3322	3	0	26	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	47	100	0	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-PSSRequestBundle.json	647	2	0	43	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	103	227	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-PSSResponse.json	4578	2	0	26	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	53	136	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-PSSResponseBundle.json	790	3	0	46	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	104	213	0	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-PSSResponseCommunicationRequest.json	784	2	0	43	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	84	254	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-PSSResponseMedicationRequest.json	819	3	0	54	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	131	365	0	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-PSSResponseRequestGroup.json	1854	2	0	92	1	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	163	440	0	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-PSSResponseServiceRequest.json	1071	3	0	29	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	98	252	0	0	0	1	7	1	1
fsh-generated/resources/StructureDefinition-PSSStructuredRating.json	4379	3	0	8	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	85	138	0	0	0	0	4	0	0
fsh-generated/resources/Task-collect-information-a.json	802	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	24	0	0	0	0	0	0	0
fsh-generated/resources/Task-propose-3074219.json	744	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0	0	0
fsh-generated/resources/Task-propose-3074220.json	744	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	34	0	0	0	0	0	0	0
fsh-generated/resources/Task-propose-3074221.json	744	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0	0
fsh-generated/resources/Task-propose-3074222.json	744	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0	0
fsh-generated/resources/Task-propose-5000246.json	744	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-BacterialCodes.json	448	2	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	12	232	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-CandidaCodes.json	605	2	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	11	145	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ChlamydiaCodes.json	710	3	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	12	216	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-CompromisedImmuneSystemCodes.json	1032	2	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	13	357	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-GonokokCodes.json	643	2	0	0	0	0	0	0	1	156	0	0	0	0	0	0	0	0	0	0	14	212	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MycoplasmaCodes.json	453	2	0	0	1	0	0	0	0	81	0	0	1	0	0	0	0	0	0	0	11	120	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-OncologyPatientCodes.json	993	3	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	12	331	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-OtherCodes.json	598	2	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	12	126	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-PSSRatingTypesVS.json	480	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	56	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-PregnancyCodes.json	757	2	0	0	0	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	12	379	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-TrichomonasCodes.json	514	2	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	11	136	0	0	0	0	0	0	0
